 Offset(P)  Session     WindowStation          Atom  RefCount    HIndex     Pinned   Name
---------- ---------- ------------------ ---------- ---------- ---------- ---------- ----
 0x3682da8     0       Service-0x0-3e5$      0xc00c     1          12         1      Protocols
 0x3682da8     0       Service-0x0-3e5$      0xc00d     1          13         1      Topics
 0x3682da8     0       Service-0x0-3e5$      0xc00e     1          14         1      Formats
 0x3682da8     0       Service-0x0-3e5$      0xc007     1          7          1      StdShowItem
 0x3682da8     0       Service-0x0-3e5$      0xc011     1          17         1      True
 0x3682da8     0       Service-0x0-3e5$      0xc010     1          16         1      EditEnvItems
 0x3682da8     0       Service-0x0-3e5$      0xc012     1          18         1      False
 0x3682da8     0       Service-0x0-3e5$      0xc015     1          21         1      Close
 0x3682da8     0       Service-0x0-3e5$      0xc004     1          4          1      StdEditDocument
 0x3682da8     0       Service-0x0-3e5$      0xc008     1          8          1      StdDoVerbItem
 0x3682da8     0       Service-0x0-3e5$      0xc003     1          3          1      StdOpenDocument
 0x3682da8     0       Service-0x0-3e5$      0xc005     1          5          1      StdNewfromTemplate
 0x3682da8     0       Service-0x0-3e5$      0xc014     1          20         1      Save
 0x3682da8     0       Service-0x0-3e5$      0xc016     1          22         1      MSDraw
 0x3682da8     0       Service-0x0-3e5$      0xc002     1          2          1      StdNewDocument
 0x3682da8     0       Service-0x0-3e5$      0xc00f     1          15         1      Status
 0x3682da8     0       Service-0x0-3e5$      0xc018     3          24         0      ThemePropScrollBarCtl
 0x3682da8     0       Service-0x0-3e5$      0xc009     1          9          1      System
 0x3682da8     0       Service-0x0-3e5$      0xc00b     1          11         1      StdDocumentName
 0x3682da8     0       Service-0x0-3e5$      0xc013     1          19         1      Change
 0x3682da8     0       Service-0x0-3e5$      0xc001     1          1          1      StdExit
 0x3682da8     0       Service-0x0-3e5$      0xc006     1          6          1      StdCloseDocument
 0x3682da8     0       Service-0x0-3e5$      0xc00a     1          10         1      OLEsystem
 0x3682da8     0       Service-0x0-3e5$      0xc017     1          23         1      CC32SubclassInfo
 0x299c7d0     0           SAWinSta          0xc00c     1          12         1      Protocols
 0x299c7d0     0           SAWinSta          0xc00d     1          13         1      Topics
 0x299c7d0     0           SAWinSta          0xc00e     1          14         1      Formats
 0x299c7d0     0           SAWinSta          0xc007     1          7          1      StdShowItem
 0x299c7d0     0           SAWinSta          0xc011     1          17         1      True
 0x299c7d0     0           SAWinSta          0xc010     1          16         1      EditEnvItems
 0x299c7d0     0           SAWinSta          0xc012     1          18         1      False
 0x299c7d0     0           SAWinSta          0xc015     1          21         1      Close
 0x299c7d0     0           SAWinSta          0xc004     1          4          1      StdEditDocument
 0x299c7d0     0           SAWinSta          0xc008     1          8          1      StdDoVerbItem
 0x299c7d0     0           SAWinSta          0xc003     1          3          1      StdOpenDocument
 0x299c7d0     0           SAWinSta          0xc005     1          5          1      StdNewfromTemplate
 0x299c7d0     0           SAWinSta          0xc014     1          20         1      Save
 0x299c7d0     0           SAWinSta          0xc016     1          22         1      MSDraw
 0x299c7d0     0           SAWinSta          0xc002     1          2          1      StdNewDocument
 0x299c7d0     0           SAWinSta          0xc00f     1          15         1      Status
 0x299c7d0     0           SAWinSta          0xc009     1          9          1      System
 0x299c7d0     0           SAWinSta          0xc00b     1          11         1      StdDocumentName
 0x299c7d0     0           SAWinSta          0xc013     1          19         1      Change
 0x299c7d0     0           SAWinSta          0xc001     1          1          1      StdExit
 0x299c7d0     0           SAWinSta          0xc006     1          6          1      StdCloseDocument
 0x299c7d0     0           SAWinSta          0xc00a     1          10         1      OLEsystem
 0x299c7d0     0           SAWinSta          0xc017     1          23         1      CC32SubclassInfo
 0xd9967f0     0           WinSta0           0xc00c     1          12         1      Protocols
 0xd9967f0     0           WinSta0           0xc02c     1          44         0      Button
 0xd9967f0     0           WinSta0           0xc03d     1          61         0      msctls_updown32
 0xd9967f0     0           WinSta0           0xc00d     1          13         1      Topics
 0xd9967f0     0           WinSta0           0xc00e     1          14         1      Formats
 0xd9967f0     0           WinSta0           0xc046     1          70         0      SysIPAddress32
 0xd9967f0     0           WinSta0           0xc01f     18         31         0      OleEndPointID
 0xd9967f0     0           WinSta0           0xc045     1          69         0      RichEdit20W
 0xd9967f0     0           WinSta0           0xc025     1          37         0      AppProperties
 0xd9967f0     0           WinSta0           0xc02d     1          45         0      Static
 0xd9967f0     0           WinSta0           0xc040     1          64         0      SysTreeView32
 0xd9967f0     0           WinSta0           0xc019     44         25         0      UxSubclassInfo
 0xd9967f0     0           WinSta0           0xc023     1          35         0      CAutoComplete_This
 0xd9967f0     0           WinSta0           0xc037     1          55         0      msctls_hotkey32
 0xd9967f0     0           WinSta0           0xc03f     1          63         0      tooltips_class32
 0xd9967f0     0           WinSta0           0xc041     1          65         0      SysMonthCal32
 0xd9967f0     0           WinSta0           0xc042     1          66         0      SysDateTimePick32
 0xd9967f0     0           WinSta0           0xc007     1          7          1      StdShowItem
 0xd9967f0     0           WinSta0           0xc011     1          17         1      True
 0xd9967f0     0           WinSta0           0xc03a     1          58         0      SysListView32
 0xd9967f0     0           WinSta0           0xc010     1          16         1      EditEnvItems
 0xd9967f0     0           WinSta0           0xc01a     1          26         0      PROGMAN
 0xd9967f0     0           WinSta0           0xc012     1          18         1      False
 0xd9967f0     0           WinSta0           0xc039     1          57         0      msctls_trackbar32
 0xd9967f0     0           WinSta0           0xc015     1          21         1      Close
 0xd9967f0     0           WinSta0           0xc022     1          34         0      CAddressComboEx_This
 0xd9967f0     0           WinSta0           0xc033     1          51         0      ToolbarWindow32
 0xd9967f0     0           WinSta0           0xc004     1          4          1      StdEditDocument
 0xd9967f0     0           WinSta0           0xc01e     6          30         0      OleDropTargetMarshalHwnd
 0xd9967f0     0           WinSta0           0xc034     1          52         0      msctls_progress32
 0xd9967f0     0           WinSta0           0xc008     1          8          1      StdDoVerbItem
 0xd9967f0     0           WinSta0           0xc029     2          41         0      CPLName
 0xd9967f0     0           WinSta0           0xc01d     6          29         0      OleDropTargetInterface
 0xd9967f0     0           WinSta0           0xc020     1          32         0      pszDesktopTitleW
 0xd9967f0     0           WinSta0           0xc036     1          54         0      SysTabControl32
 0xd9967f0     0           WinSta0           0xc03c     1          60         0      msctls_updown
 0xd9967f0     0           WinSta0           0xc003     1          3          1      StdOpenDocument
 0xd9967f0     0           WinSta0           0xc021     2          33         0      CAddressCombo_This
 0xd9967f0     0           WinSta0           0xc005     1          5          1      StdNewfromTemplate
 0xd9967f0     0           WinSta0           0xc03b     1          59         0      OpenListView
 0xd9967f0     0           WinSta0           0xc02a     2          42         0      CPLFlags
 0xd9967f0     0           WinSta0           0xc043     1          67         0      RICHEDIT
 0xd9967f0     0           WinSta0           0xc03e     1          62         0      tooltips_class
 0xd9967f0     0           WinSta0           0xc014     1          20         1      Save
 0xd9967f0     0           WinSta0           0xc016     1          22         1      MSDraw
 0xd9967f0     0           WinSta0           0xc002     1          2          1      StdNewDocument
 0xd9967f0     0           WinSta0           0xc026     1          38         0      ddeconv
 0xd9967f0     0           WinSta0           0xc00f     1          15         1      Status
 0xd9967f0     0           WinSta0           0xc018     45         24         0      ThemePropScrollBarCtl
 0xd9967f0     0           WinSta0           0xc01c     2          28         0      AfxOldWndProc423
 0xd9967f0     0           WinSta0           0xc02e     1          46         0      Edit
 0xd9967f0     0           WinSta0           0xc02f     1          47         0      ComboBox
 0xd9967f0     0           WinSta0           0xc032     1          50         0      msctls_statusbar32
 0xd9967f0     0           WinSta0           0xc038     1          56         0      SysHeader32
 0xd9967f0     0           WinSta0           0xc009     1          9          1      System
 0xd9967f0     0           WinSta0           0xc024     1          36         0      Folders
 0xd9967f0     0           WinSta0           0xc030     1          48         0      MDIClient
 0xd9967f0     0           WinSta0           0xc00b     1          11         1      StdDocumentName
 0xd9967f0     0           WinSta0           0xc013     1          19         1      Change
 0xd9967f0     0           WinSta0           0xc001     1          1          1      StdExit
 0xd9967f0     0           WinSta0           0xc006     1          6          1      StdCloseDocument
 0xd9967f0     0           WinSta0           0xc02b     1          43         0      ListBox
 0xd9967f0     0           WinSta0           0xc031     1          49         0      ScrollBar
 0xd9967f0     0           WinSta0           0xc035     1          53         0      SysAnimate32
 0xd9967f0     0           WinSta0           0xc01b     2          27         0      CAddressBand_This
 0xd9967f0     0           WinSta0           0xc00a     1          10         1      OLEsystem
 0xd9967f0     0           WinSta0           0xc017     1          23         1      CC32SubclassInfo
 0xd9967f0     0           WinSta0           0xc044     1          68         0      RichEdit20A
 0xde7c5b8     0       Service-0x0-3e7$      0xc00c     1          12         1      Protocols
 0xde7c5b8     0       Service-0x0-3e7$      0xc00d     1          13         1      Topics
 0xde7c5b8     0       Service-0x0-3e7$      0xc00e     1          14         1      Formats
 0xde7c5b8     0       Service-0x0-3e7$      0xc019     1          25         0      RASDLG
 0xde7c5b8     0       Service-0x0-3e7$      0xc007     1          7          1      StdShowItem
 0xde7c5b8     0       Service-0x0-3e7$      0xc011     1          17         1      True
 0xde7c5b8     0       Service-0x0-3e7$      0xc010     1          16         1      EditEnvItems
 0xde7c5b8     0       Service-0x0-3e7$      0xc012     1          18         1      False
 0xde7c5b8     0       Service-0x0-3e7$      0xc015     1          21         1      Close
 0xde7c5b8     0       Service-0x0-3e7$      0xc004     1          4          1      StdEditDocument
 0xde7c5b8     0       Service-0x0-3e7$      0xc008     1          8          1      StdDoVerbItem
 0xde7c5b8     0       Service-0x0-3e7$      0xc003     1          3          1      StdOpenDocument
 0xde7c5b8     0       Service-0x0-3e7$      0xc005     1          5          1      StdNewfromTemplate
 0xde7c5b8     0       Service-0x0-3e7$      0xc01b     1          27         0      RASSRVUI_PAGE_ID
 0xde7c5b8     0       Service-0x0-3e7$      0xc014     1          20         1      Save
 0xde7c5b8     0       Service-0x0-3e7$      0xc016     1          22         1      MSDraw
 0xde7c5b8     0       Service-0x0-3e7$      0xc002     1          2          1      StdNewDocument
 0xde7c5b8     0       Service-0x0-3e7$      0xc00f     1          15         1      Status
 0xde7c5b8     0       Service-0x0-3e7$      0xc018     11         24         0      ThemePropScrollBarCtl
 0xde7c5b8     0       Service-0x0-3e7$      0xc009     1          9          1      System
 0xde7c5b8     0       Service-0x0-3e7$      0xc00b     1          11         1      StdDocumentName
 0xde7c5b8     0       Service-0x0-3e7$      0xc013     1          19         1      Change
 0xde7c5b8     0       Service-0x0-3e7$      0xc001     1          1          1      StdExit
 0xde7c5b8     0       Service-0x0-3e7$      0xc006     1          6          1      StdCloseDocument
 0xde7c5b8     0       Service-0x0-3e7$      0xc01a     1          26         0      RASSRVUI_PAGE_DATA
 0xde7c5b8     0       Service-0x0-3e7$      0xc00a     1          10         1      OLEsystem
 0xde7c5b8     0       Service-0x0-3e7$      0xc017     1          23         1      CC32SubclassInfo
 0xe92e9e0     0       Service-0x0-3e4$      0xc00c     1          12         1      Protocols
 0xe92e9e0     0       Service-0x0-3e4$      0xc00d     1          13         1      Topics
 0xe92e9e0     0       Service-0x0-3e4$      0xc00e     1          14         1      Formats
 0xe92e9e0     0       Service-0x0-3e4$      0xc007     1          7          1      StdShowItem
 0xe92e9e0     0       Service-0x0-3e4$      0xc011     1          17         1      True
 0xe92e9e0     0       Service-0x0-3e4$      0xc010     1          16         1      EditEnvItems
 0xe92e9e0     0       Service-0x0-3e4$      0xc012     1          18         1      False
 0xe92e9e0     0       Service-0x0-3e4$      0xc015     1          21         1      Close
 0xe92e9e0     0       Service-0x0-3e4$      0xc004     1          4          1      StdEditDocument
 0xe92e9e0     0       Service-0x0-3e4$      0xc008     1          8          1      StdDoVerbItem
 0xe92e9e0     0       Service-0x0-3e4$      0xc003     1          3          1      StdOpenDocument
 0xe92e9e0     0       Service-0x0-3e4$      0xc005     1          5          1      StdNewfromTemplate
 0xe92e9e0     0       Service-0x0-3e4$      0xc014     1          20         1      Save
 0xe92e9e0     0       Service-0x0-3e4$      0xc016     1          22         1      MSDraw
 0xe92e9e0     0       Service-0x0-3e4$      0xc002     1          2          1      StdNewDocument
 0xe92e9e0     0       Service-0x0-3e4$      0xc00f     1          15         1      Status
 0xe92e9e0     0       Service-0x0-3e4$      0xc018     4          24         0      ThemePropScrollBarCtl
 0xe92e9e0     0       Service-0x0-3e4$      0xc009     1          9          1      System
 0xe92e9e0     0       Service-0x0-3e4$      0xc00b     1          11         1      StdDocumentName
