Offset(P)    #Ptr   #Hnd Access Name
---------- ------ ------ ------ ----
0x014976e0      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\inf\printupg.PNF
0x014978a8      1      0 -W-r-- \Device\HarddiskVolume1\System Volume Information\_restore{4B989CFC-740C-440A-BDD6-14C17F1C60F1}\RP124\snapshot\_REGISTRY_USER_USRCLASS_S-1-5-19
0x01497a70      1      0 R--r-- \Device\HarddiskVolume1\Documents and Settings\Administrator\Application Data\Microsoft\CryptnetUrlCache\MetaData\2BF68F4714092295550497DD56F57004
0x0149e3b8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x0149e588      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\drivers\etc\hosts
0x0149f1b0      1      1 ------ \Device\Afd\AsyncConnectHlp
0x014a4ee8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x014ad0d8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\perfdisk.dll
0x014ad1b0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\netshell.dll
0x014ae0e8      2      1 RWDrw- \Device\HarddiskVolume1\WINDOWS\Temp\Perflib_Perfdata_c8.dat
0x014ae4b0      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\Fonts\arial.ttf
0x014ae820      1      1 ------ \Device\NamedPipe\net\NtControlPipe17
0x014ae958      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202\comctl32.dll
0x014aef90      2      1 ------ \Device\NamedPipe\lsass
0x014b42e0      1      0 -W-r-- \Device\HarddiskVolume1\System Volume Information\_restore{4B989CFC-740C-440A-BDD6-14C17F1C60F1}\RP123\snapshot\_REGISTRY_USER_NTUSER_S-1-5-21-1957994488-1326574676-839522115-500
0x014b69f0      1      0 -WD--- \Device\HarddiskVolume1\System Volume Information\_restore{4B989CFC-740C-440A-BDD6-14C17F1C60F1}\RP124\snapshot\ComDb.Dat
0x014b9dc8      1      0 RWD--- \Device\HarddiskVolume1\$Directory
0x014bb308      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\tcpmon.dll
0x014bc138      2      1 ------ \Device\NamedPipe\ROUTER
0x014bc498      1      0 -W-r-- \Device\HarddiskVolume1\System Volume Information\_restore{4B989CFC-740C-440A-BDD6-14C17F1C60F1}\RP124\snapshot\_REGISTRY_MACHINE_SAM
0x014bc978      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x014bda38      3      1 RW-r-- \Device\HarddiskVolume1\WINDOWS\SoftwareDistribution\ReportingEvents.log
0x014bdb10      2      1 ------ \Device\NamedPipe\Spooler\LPT1
0x014be420      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\h323.tsp
0x014bf220      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\perfproc.dll
0x014bfa68      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x014c0f90      3      1 R--rwd \Device\HarddiskVolume1\Documents and Settings\All Users\Start Menu
0x014c1390      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\TPSvc.dll
0x014c1f50      1      1 ------ \Device\NamedPipe\net\NtControlPipe15
0x014c5400      1      1 ------ \Device\NamedPipe\ROUTER
0x014c5580      2      1 ------ \Device\RawIp\47
0x014c5ba0      2      1 ------ \Device\NamedPipe\srvsvc
0x014c64b0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\spool\drivers\w32x86\3\TPPS.DLL
0x014c6840      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x014c7880      1      1 ------ \Device\Afd\Endpoint
0x014c82c0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x014c84a0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\rastapi.dll
0x014c8b58      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\Fonts\vgasys.fon
0x014c9668      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\inetpp.dll
0x014c9828      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\uniplat.dll
0x014d42a8      2      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\upnp.dll
0x014d4348      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\attrib.exe
0x014d43e0      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\oleaut32.dll
0x014d4ab8      2      0 R--rw- \Device\HarddiskVolume1\Program Files\VMware\VMware Tools\suspend-vm-default.bat
0x014d4d88      2      1 ------ \Device\NamedPipe\ROUTER
0x014d4e58      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x014d5678      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x014d5cf0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\en-us\urlmon.dll.mui
0x014dca88      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x014dcb20      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\mswsock.dll
0x014ddf50      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32
0x014de818      5      1 RWDr-- \Device\HarddiskVolume1\System Volume Information\tracking.log
0x014de918      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\rasppp.dll
0x014df500      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\kmddsp.tsp
0x014df618      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\ole32.dll
0x014e0240      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wbem\framedyn.dll
0x014e1168      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x014e1cd0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\ntlsapi.dll
0x014e29a0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x014e3198      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\dot3ui.dll
0x014e4388      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\spool\prtprocs\w32x86\TPWinPrn.dll
0x014e5200      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\netcfgx.dll
0x014e6bd8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\rasdlg.dll
0x014e9248      1      0 -W---- \Device\HarddiskVolume1\System Volume Information\_restore{4B989CFC-740C-440A-BDD6-14C17F1C60F1}\RP123\snapshot\domain.txt
0x014ea090      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\c_1251.nls
0x014ea1f8      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\c_1253.nls
0x014eb028      2      1 ------ \Device\NamedPipe\Spooler\LPT1
0x014eb7c0      2      1 ------ \Device\NamedPipe\PIPE_EVENTROOT\CIMV2SCM EVENT PROVIDER
0x014eb928      2      1 ------ \Device\NamedPipe\PIPE_EVENTROOT\CIMV2SCM EVENT PROVIDER
0x014eba40      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\c_1250.nls
0x014ebb40      2      1 ------ \Device\NamedPipe\Winsock2\CatalogChangeListener-434-0
0x014ec6b0      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mdminst.dll
0x014ed2b8      2      0 R--r-- \Device\HarddiskVolume1\WINDOWS\WinSxS\Manifests\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202.Manifest
0x014eece0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\rasqec.dll
0x014ef478      2      1 ------ \Device\NamedPipe\Spooler\LPT1
0x014ef7b8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wbem\ncprov.dll
0x014f02e0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x014f06b8      1      0 R--r-d \Device\HarddiskVolume1\Program Files\VMware\VMware Tools\TPAutoConnSvc.exe
0x014f3470      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\apphelp.dll
0x014f6128      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\syssetup.dll
0x014f6960      2      1 ------ \Device\Afd\Endpoint
0x014f7228      2      0 R--r-- \Device\HarddiskVolume1\WINDOWS\WinSxS\Policies\x86_policy.6.0.Microsoft.Windows.Common-Controls_6595b64144ccf1df_x-ww_5ddad775\6.0.2600.6028.Policy
0x014f78f0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\spoolss.dll
0x014f87e0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\ipconfig.exe
0x014fb0b8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x014fc6a8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\perfos.dll
0x014fd430      1      0 -W-r-- \Device\HarddiskVolume1\System Volume Information\_restore{4B989CFC-740C-440A-BDD6-14C17F1C60F1}\RP124\snapshot\_REGISTRY_USER_USRCLASS_S-1-5-21-1957994488-1326574676-839522115-500
0x014fe5c8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\usbmon.dll
0x014ff360      2      1 ------ \Device\NamedPipe\Spooler\LPT1
0x01502650      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\comctl32.dll
0x01502ba0      1      0 -WD--- \Device\HarddiskVolume1\System Volume Information\_restore{4B989CFC-740C-440A-BDD6-14C17F1C60F1}\RP123\snapshot\Repository\$WinMgmt.CFG
0x015032c8      2      1 ------ \Device\NamedPipe\PIPE_EVENTROOT\CIMV2SCM EVENT PROVIDER
0x015037c8      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\Microsoft\Protect\S-1-5-18\User\e0d0740e-5255-45fe-b847-213bde640f8f
0x01504b58      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\shlwapi.dll
0x01505a48      1      0 R--r-- \Device\HarddiskVolume1\Documents and Settings\Administrator\Application Data\Microsoft\CryptnetUrlCache\Content\94308059B57B3142E455B38A6EB92015
0x01505ae8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\mstask.dll
0x01505f28      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\spool\drivers\w32x86\3\ps5ui.dll
0x01506550      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\msiexec.exe
0x01506dd0      1      0 -WD--- \Device\HarddiskVolume1\System Volume Information\_restore{4B989CFC-740C-440A-BDD6-14C17F1C60F1}\RP124\snapshot\Repository\$WinMgmt.CFG
0x01507dd0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\ssdpsrv.dll
0x01507ef8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x0150a9c8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\tapisrv.dll
0x0150b388      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0150c3e8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\dot3ui.dll
0x0150ca60      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wbem\wbemess.dll
0x0150ecd8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\ntprint.dll
0x0150fdf0      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\spool\drivers\w32x86\3\PSCRIPT.HLP
0x01510360      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\mstask.dll
0x015103f8      2      1 ------ \Device\NamedPipe\Spooler\LPT1
0x01510748      2      1 ------ \Device\NamedPipe\Spooler\LPT1
0x01510d88      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x015118c8      1      0 -W-r-d \Device\HarddiskVolume1\WINDOWS\system32\wbem\Logs\wbemcore.log
0x01511960      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\msapsspc.dll
0x01511ec0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wbem\wmiprvsd.dll
0x015127e0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\ipconf.tsp
0x015138b0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wuauclt.exe
0x01514450      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\gdi32.dll
0x01516158      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\catsrv.dll
0x01516238      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x0151a2e8      1      1 R--rw- \Device\HarddiskVolume1\Documents and Settings\Administrator
0x0151a8a8      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\Registration\R000000000007.clb
0x0151b318      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wzcdlg.dll
0x0151baa0      2      1 ------ \Device\NamedPipe\ROUTER
0x0151c480      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\webcheck.dll
0x0151c598      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x0151e028      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\netrap.dll
0x0151e1e8      1      0 -W---- \Device\HarddiskVolume1\System Volume Information\_restore{4B989CFC-740C-440A-BDD6-14C17F1C60F1}\RP124\RestorePointSize
0x0151e3e0      1      1 ------ \Device\NamedPipe\wkssvc
0x0151e5a0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\mstlsapi.dll
0x0151e638      1      1 R--rw- \Device\HarddiskVolume1\Documents and Settings\Administrator\Local Settings\Application Data
0x0151e8c8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\davclnt.dll
0x0151ef90      2      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\Administrator\Local Settings\Application Data\VMware\hgfs.dat
0x0151f798      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\netui1.dll
0x0151fa18      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\cnbjmon.dll
0x015206b0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\termsrv.dll
0x01520b90      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x01521638      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\uxtheme.dll
0x01521df0      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\userenv.dll
0x015220d8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x015221c0      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\advapi32.dll
0x015222d0      1      1 ------ \Device\NamedPipe\lsarpc
0x015226e8      1      0 R--r-d \Device\HarddiskVolume1\Program Files\VMware\VMware Tools\VMwareTray.exe
0x01523160      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\hidphone.tsp
0x01527b30      2      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\CMD.EXE-087B4001.pf
0x0152ddd0      1      0 -WD--- \Device\HarddiskVolume1\System Volume Information\_restore{4B989CFC-740C-440A-BDD6-14C17F1C60F1}\RP124\snapshot\Repository\FS\INDEX.BTR
0x015368e0      3      1 ------ \Device\NamedPipe\net\NtControlPipe13
0x015541e0      1      1 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\ega.cpi
0x01554310      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\Fonts\dosapp.fon
0x015587c8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\msxml3.dll
0x01558a70      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\msxml3r.dll
0x01558d18      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\digest.dll
0x015692c8      2      1 ------ \Device\NamedPipe\spoolss
