Offset(V)     Pid     Handle     Access Type             Details
---------- ------ ---------- ---------- ---------------- -------
0x819cc830      4        0x4   0x1f0fff Process          System(4)
0x819cb020      4        0x8        0x0 Thread           TID 12 PID 4
0xe13c1c78      4        0xc    0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER\MEMORY MANAGEMENT\PREFETCHPARAMETERS
0xe1018988      4       0x10        0x0 Key              
0xe13cbc88      4       0x14    0x2001f Key              MACHINE\SYSTEM\SETUP
0xe13ca7a8      4       0x18    0x20019 Key              MACHINE\HARDWARE\DESCRIPTION\SYSTEM\MULTIFUNCTIONADAPTER
0xe13c5c60      4       0x1c    0x20019 Key              MACHINE\SYSTEM\WPA\KEY-CJ27J3P2XV9J9JCPB4DVT
0xe13ca840      4       0x20    0x20019 Key              MACHINE\SYSTEM\WPA\KEY-4F3B2RFXKC9C637882MBM
0xe13cbb20      4       0x24    0x20019 Key              MACHINE\SYSTEM\WPA\MEDIACENTER
0xe13cbab8      4       0x28    0x20019 Key              MACHINE\SYSTEM\WPA\PNP
0xe13ca648      4       0x2c    0x20019 Key              MACHINE\SYSTEM\WPA\SIGNINGHASH-6KCM6KFTX6MD62
0xe13cba20      4       0x30    0x20019 Key              MACHINE\SYSTEM\WPA\SIGNINGHASH-V44KQMCFXKQCTQ
0xe13cb1b0      4       0x34    0x2001f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\PRODUCTOPTIONS
0xe13cb850      4       0x38    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\EVENTLOG
0x819c5898      4       0x3c   0x1f0003 Event            TRKWKS_EVENT
0x81902b90      4       0x90   0x1f0001 FilterC...onPort MicrosoftMalwareProtectionAsyncPort
0x819ea740      4       0x98   0x1f03ff Thread           TID 96 PID 4
0xe13db560      4       0x9c    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\ACPI\PARAMETERS
0xe14dda30      4       0xa0    0x2001f Key              MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 0\TARGET ID 0
0x819b4168      4       0xa8   0x1f0003 Event            VxKernel2VoldEvent
0x81635458      4       0xac        0x0 Thread           TID 104 PID 4
0xe14dee80      4       0xb0    0xf000f Directory        WinDfs
0xe14dd7d0      4       0xb4    0x2001f Key              MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 0\INITIATOR ID 7
0xe14de868      4       0xb8    0x2001f Key              MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 0
0xe14dc1f0      4       0xbc    0x2001f Key              MACHINE\HARDWARE\DEVICEMAP\SCSI
0xe14ddfb8      4       0xc0    0x2001f Key              MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2
0xe14d82a0      4       0xc4    0x2001f Key              MACHINE\HARDWARE\DEVICEMAP\SCSI\SCSI PORT 2\SCSI BUS 0\TARGET ID 0\LOGICAL UNIT ID 0
0xe14def58      4       0xd4    0xf000f Directory        Harddisk0
0xe18d20b8      4      0x194    0x20019 Key              MACHINE\HARDWARE\DESCRIPTION\SYSTEM\MULTIFUNCTIONADAPTER
0xe15e1c10      4      0x198    0x2001f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\VIDEO\{20550B8D-C70F-41A3-A3AA-80C7FBCB5A50}\0001\VOLATILESETTINGS
0x81904610      4      0x674   0x1f0001 FilterC...onPort MicrosoftMalwareProtectionPort
0xe18d50b8      4      0x678    0x2001f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\VIDEO\{20550B8D-C70F-41A3-A3AA-80C7FBCB5A50}\0000\VOLATILESETTINGS
0x814a2cd0      4      0x67c      0x438 Process          lsass.exe(692)
0x818ec4a0      4      0x680   0x1f03ff Thread           TID 292 PID 4
0x815bed70      4      0x684   0x1f0001 FilterC...onPort MicrosoftMalwareProtectionControlPort
0x814cfb78      4      0x688  0x2000003 File             \Device\HarddiskVolume1\WINDOWS\system32\config\software.LOG
0x81580838      4      0x68c  0x2000003 File             \Device\HarddiskVolume1\Documents and Settings\NetworkService\ntuser.dat.LOG
0x814cf188      4      0x690  0x2000003 File             \Device\HarddiskVolume1\WINDOWS\system32\config\SAM.LOG
0x814cf390      4      0x694  0x2000003 File             \Device\HarddiskVolume1\WINDOWS\system32\config\default.LOG
0x814cf6c0      4      0x698        0x3 File             \Device\HarddiskVolume1\WINDOWS\system32\config\system.LOG
0x814cfd48      4      0x69c  0x2000003 File             \Device\HarddiskVolume1\WINDOWS\system32\config\SECURITY.LOG
0x8171b238      4      0x6a0  0x2000003 File             \Device\HarddiskVolume1\WINDOWS\system32\config\SAM
0xe165ada0      4      0x6a4        0x4 Directory        WindowStations
0x8171b408      4      0x6a8        0x3 File             \Device\HarddiskVolume1\WINDOWS\system32\config\system
0x817afc48      4      0x6ac  0x2000003 File             \Device\HarddiskVolume1\WINDOWS\system32\config\default
0x818f52b0      4      0x6b0   0x1f0003 Event            StuckThreadEvent
0x815ba930      4      0x6b4   0x1f03ff Thread           TID 356 PID 4
0x817af868      4      0x6b8  0x2000003 File             \Device\HarddiskVolume1\WINDOWS\system32\config\software
0x81641800      4      0x6bc   0x12019f File             \Device\Tcp
0x816122c0      4      0x6c0   0x12019f File             \Device\Gpc
0x8179b3b0      4      0x6c4   0x12019f File             \Device\Gpc
0x8187d4e8      4      0x6c8   0x12019f File             \Device\Tcp
0x816410d0      4      0x6cc   0x12019f File             \Device\Udp
0xe1749990      4      0x6d0   0x1f0001 Port             
0xe17334e8      4      0x6d4   0x1f0001 Port             
0x817afe18      4      0x6d8  0x2000003 File             \Device\HarddiskVolume1\WINDOWS\system32\config\SECURITY
0x814c8640      4      0x6dc   0x120089 File             \Device\Tcp
0xe16e22d0      4      0x6e0        0x2 Key              MACHINE\SOFTWARE\MICROSOFT\CRYPTOGRAPHY\RNG
0x81613160      4      0x6e4    0xf0003 Desktop          Disconnect
0x814cff28      4      0x6e8   0x140003 File             \Device\HarddiskVolume1\pagefile.sys
0x813685e0      4      0x6ec   0x1f03ff Process          spoolsv.exe(1516)
0x81580f90      4      0x6f0  0x2000003 File             \Device\HarddiskVolume1\Documents and Settings\NetworkService\NTUSER.DAT
0x81726028      4      0x6f4   0x120116 File             \Device\Mup
0x8163d8d0      4      0x6f8   0x100003 Event            LanmanServerAnnounceEvent
0x815c9638      4      0x6fc   0x1f03ff Process          svchost.exe(1812)
0x814a2cd0      4      0x700       0x28 Process          lsass.exe(692)
0x8171b640      4      0x704   0x12019f File             \Device\Tcp
0x81874370      4      0x708       0x20 File             \Device\HGFS
0xe1595968      4      0x70c   0x1f0001 Port             SeRmCommandPort
0x819016e0      4      0x710   0x1f0001 FilterC...onPort MicrosoftNWMonPort
0x81933028      4      0x714   0x12019f File             \Device\Tcp
0x81902970      4      0x718   0x1f0001 FilterC...onPort MicrosoftKSLControlPort
0x817ae2d0      4      0x71c  0x2000003 File             \Device\HarddiskVolume1\Documents and Settings\NetworkService\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat
0x813a5658      4      0x720  0x2000003 File             \Device\HarddiskVolume1\Documents and Settings\NetworkService\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat.LOG
0x8179df90      4      0x724   0x12019f File             \Device\Tcp
0x8179de58      4      0x728   0x12019f File             \Device\Tcp
0x8179dd20      4      0x72c   0x12019f File             \Device\Tcp
0x8179db68      4      0x730   0x12019f File             \Device\Tcp
0x8179d9b0      4      0x734   0x12019f File             \Device\Tcp
0x8179d7f8      4      0x738   0x12019f File             \Device\Tcp
0x8179d640      4      0x73c   0x12019f File             \Device\Tcp
0x8179d488      4      0x740   0x12019f File             \Device\Tcp
0x8179d2d0      4      0x744   0x12019f File             \Device\Tcp
0x8179d118      4      0x748   0x12019f File             \Device\Tcp
0x8179cef0      4      0x74c   0x12019f File             \Device\Tcp
0x8179cd38      4      0x750   0x12019f File             \Device\Tcp
0x8179cb80      4      0x754   0x12019f File             \Device\Tcp
0x8179c9c8      4      0x758   0x12019f File             \Device\Tcp
0x8179c810      4      0x75c   0x12019f File             \Device\Tcp
0x8179c658      4      0x760   0x12019f File             \Device\Tcp
0x8179c4a0      4      0x764   0x12019f File             \Device\Tcp
0x8179c2e8      4      0x768   0x12019f File             \Device\Tcp
0x8179c130      4      0x76c   0x12019f File             \Device\Tcp
0x813a2f90      4      0x770   0x12019f File             \Device\Tcp
0x813a2e08      4      0x774   0x12019f File             \Device\Tcp
0x813a2c50      4      0x778   0x12019f File             \Device\Tcp
0x813a2a98      4      0x77c   0x12019f File             \Device\Tcp
0x813a28e0      4      0x780   0x12019f File             \Device\Tcp
0x813a2728      4      0x784   0x12019f File             \Device\Tcp
0x813a2570      4      0x788   0x12019f File             \Device\Tcp
0x813a23b8      4      0x78c   0x12019f File             \Device\Tcp
0x813a2200      4      0x790   0x12019f File             \Device\Tcp
0x8157e028      4      0x794   0x12019f File             \Device\Tcp
0x8157ee70      4      0x798   0x12019f File             \Device\Tcp
0x8157ecb8      4      0x79c   0x12019f File             \Device\Tcp
0x8157eb00      4      0x7a0   0x12019f File             \Device\Tcp
0x8157e948      4      0x7a4   0x12019f File             \Device\Tcp
0x8157e790      4      0x7a8   0x12019f File             \Device\Tcp
0x8157e5d8      4      0x7ac   0x12019f File             \Device\Tcp
0x8157e420      4      0x7b0   0x12019f File             \Device\Tcp
0x8157e268      4      0x7b4   0x12019f File             \Device\Tcp
0x816ba028      4      0x7b8   0x12019f File             \Device\Tcp
0x816baef0      4      0x7bc   0x12019f File             \Device\Tcp
0x816bad38      4      0x7c0   0x12019f File             \Device\Tcp
0x816bab80      4      0x7c4   0x12019f File             \Device\Tcp
0x816ba9c8      4      0x7c8   0x12019f File             \Device\Tcp
0x816ba810      4      0x7cc   0x12019f File             \Device\Tcp
0x816ba658      4      0x7d0   0x12019f File             \Device\Tcp
0x816ba4a0      4      0x7d4   0x12019f File             \Device\Tcp
0x816ba2e8      4      0x7d8   0x12019f File             \Device\Tcp
0x816ba130      4      0x7dc   0x12019f File             \Device\Tcp
0x818b4ef0      4      0x7e0   0x12019f File             \Device\Tcp
0x818b4d68      4      0x7e4   0x12019f File             \Device\Tcp
0x813a1d40      4      0x7e8   0x12019f File             \Device\Tcp
0x8187e878      4      0x7ec   0x12008b File             \Device\HarddiskVolume1\Documents and Settings\All Users\Application Data\Microsoft\Microsoft Antimalware\Support\MpWppTracing.bin
