Module Base Module Name          Result
----------- -------------------- ------
0x0804d7000 ntoskrnl.exe         OK: driver.804d7000.sys
0x0806d0000 hal.dll              OK: driver.806d0000.sys
0x0f93d9000 dump_scsiport.sys    OK: driver.f93d9000.sys
0x0f9e58000 CmBatt.sys           OK: driver.f9e58000.sys
0x0f9eba000 Fs_Rec.SYS           OK: driver.f9eba000.sys
0x0f9ea0000 intelide.sys         OK: driver.f9ea0000.sys
0x0f9a7c000 cdrom.sys            OK: driver.f9a7c000.sys
0x0f9db0000 compbatt.sys         OK: driver.f9db0000.sys
0x0f93dd000 update.sys           OK: driver.f93dd000.sys
0x0f9ebe000 mnmdd.SYS            OK: driver.f9ebe000.sys
0x0f1000000 afd.sys              OK: driver.f1000000.sys
0x0f10a3000 ipsec.sys            OK: driver.f10a3000.sys
0x0f0f73000 rdbss.sys            OK: driver.f0f73000.sys
0x0f9e84000 mssmbios.sys         OK: driver.f9e84000.sys
0x0f0d65000 ndisuio.sys          OK: driver.f0d65000.sys
0x0f9a9c000 vmci.sys             OK: driver.f9a9c000.sys
0x0f96ca000 Mup.sys              OK: driver.f96ca000.sys
0x0f9b9c000 Cdfs.SYS             OK: driver.f9b9c000.sys
0x0f9cb4000 usbuhci.sys          OK: driver.f9cb4000.sys
0x0f104a000 tcpip.sys            OK: driver.f104a000.sys
0x0f1022000 netbt.sys            OK: driver.f1022000.sys
0x0f9d0c000 Msfs.SYS             Error: Cannot acquire AS
0x0f9d34000 watchdog.sys         OK: driver.f9d34000.sys
0x0f986d000 ACPI.sys             OK: driver.f986d000.sys
0x0fa0ce000 audstub.sys          OK: driver.fa0ce000.sys
0x0f9a6c000 serial.sys           OK: driver.f9a6c000.sys
0x0bf012000 vmx_fb.dll           OK: driver.bf012000.sys
0x0f9f3e000 vmmemctl.sys         OK: driver.f9f3e000.sys
0x0f9c9c000 mouclass.sys         OK: driver.f9c9c000.sys
0x0f9671000 rasacd.sys           OK: driver.f9671000.sys
0x0fa052000 dxgthk.sys           OK: driver.fa052000.sys
0x0f9aec000 msgpc.sys            OK: driver.f9aec000.sys
0x0f9d14000 Npfs.SYS             OK: driver.f9d14000.sys
0x0f10d6000 MpFilter.sys         OK: driver.f10d6000.sys
0x0f983d000 ftdisk.sys           OK: driver.f983d000.sys
0x0f943b000 rdpdr.sys            OK: driver.f943b000.sys
0x0f9d04000 vga.sys              OK: driver.f9d04000.sys
0x0f9c1c000 PCIIDEX.SYS          OK: driver.f9c1c000.sys
0x0bf000000 dxg.sys              OK: driver.bf000000.sys
0x0f9e9c000 kdcom.dll            OK: driver.f9e9c000.sys
0x0f9abc000 rasl2tp.sys          OK: driver.f9abc000.sys
0x0f97b5000 sr.sys               OK: driver.f97b5000.sys
0x0f0fe2000 vmhgfs.sys           OK: driver.f0fe2000.sys
0x0f9ca4000 fdc.sys              Error: Cannot acquire AS
0x0f97c7000 fltmgr.sys           OK: driver.f97c7000.sys
0x0f9bbc000 HIDCLASS.SYS         OK: driver.f9bbc000.sys
0x0f9cac000 vmx_svga.sys         OK: driver.f9cac000.sys
0x0f985c000 pci.sys              OK: driver.f985c000.sys
0x0f947c000 mouhid.sys           OK: driver.f947c000.sys
0x0f9a8c000 redbook.sys          OK: driver.f9a8c000.sys
0x0f9eb0000 USBD.SYS             OK: driver.f9eb0000.sys
0x0f9cbc000 vmxnet.sys           OK: driver.f9cbc000.sys
0x0f979e000 KSecDD.sys           OK: driver.f979e000.sys
0x0f9b0c000 NDProxy.SYS          OK: driver.f9b0c000.sys
0x0f9db4000 BATTC.SYS            OK: driver.f9db4000.sys
0x0f9c24000 PartMgr.sys          OK: driver.f9c24000.sys
0x0f9db8000 vmscsi.sys           OK: driver.f9db8000.sys
0x0f9eae000 swenum.sys           OK: driver.f9eae000.sys
0x0f0edb000 mrxsmb.sys           OK: driver.f0edb000.sys
0x0f99bc000 VolSnap.sys          OK: driver.f99bc000.sys
0x0f9d24000 usbccgp.sys          OK: driver.f9d24000.sys
0x0f9e3c000 ws2ifsl.sys          OK: driver.f9e3c000.sys
0x0f9a5c000 i8042prt.sys         OK: driver.f9a5c000.sys
0x0f0387000 HTTP.sys             OK: driver.f0387000.sys
0x0f94df000 VIDEOPRT.SYS         OK: driver.f94df000.sys
0x0f0a10000 mrxdav.sys           OK: driver.f0a10000.sys
0x0f9ec0000 RDPCDD.sys           OK: driver.f9ec0000.sys
0x0f9ebc000 Beep.SYS             OK: driver.f9ebc000.sys
0x0f9adc000 raspptp.sys          OK: driver.f9adc000.sys
0x0f9480000 hidusb.sys           OK: driver.f9480000.sys
0x0f9cc4000 usbehci.sys          OK: driver.f9cc4000.sys
0x0f0e9d000 ipnat.sys            OK: driver.f0e9d000.sys
0x0f97e7000 SCSIPORT.SYS         OK: driver.f97e7000.sys
0x0f99ac000 MountMgr.sys         OK: driver.f99ac000.sys
0x0f96e4000 NDIS.sys             OK: driver.f96e4000.sys
0x0f946b000 psched.sys           OK: driver.f946b000.sys
0x0f9ccc000 TDI.SYS              OK: driver.f9ccc000.sys
0x0f9711000 Ntfs.sys             OK: driver.f9711000.sys
0x0f9e50000 serenum.sys          OK: driver.f9e50000.sys
0x0f9aac000 intelppm.sys         OK: driver.f9aac000.sys
0x0f9cdc000 raspti.sys           OK: driver.f9cdc000.sys
0x0f94f3000 ks.sys               OK: driver.f94f3000.sys
0x0f9cd4000 ptilink.sys          OK: driver.f9cd4000.sys
0x0f9b2c000 usbhub.sys           OK: driver.f9b2c000.sys
0x0f9ffe000 Null.SYS             OK: driver.f9ffe000.sys
0x0f9516000 parport.sys          OK: driver.f9516000.sys
0x0f9bac000 wanarp.sys           OK: driver.f9bac000.sys
0x0f94bb000 USBPORT.SYS          OK: driver.f94bb000.sys
0x0f99dc000 CLASSPNP.SYS         OK: driver.f99dc000.sys
0x0f94a4000 ndiswan.sys          OK: driver.f94a4000.sys
0x0f9e5c000 ndistapi.sys         OK: driver.f9e5c000.sys
0x0f97ff000 atapi.sys            OK: driver.f97ff000.sys
0x0bf800000 win32k.sys           OK: driver.bf800000.sys
0x0f9f3c000 ParVdm.SYS           OK: driver.f9f3c000.sys
0x0f9ea2000 dmload.sys           Error: Cannot acquire AS
0x0f9afc000 termdd.sys           OK: driver.f9afc000.sys
0x0f9ce4000 flpydisk.sys         OK: driver.f9ce4000.sys
0x0f9d2c000 HIDPARSE.SYS         OK: driver.f9d2c000.sys
0x0f9b7c000 Fips.SYS             OK: driver.f9b7c000.sys
0x0f9c94000 kbdclass.sys         OK: driver.f9c94000.sys
0x0f9dac000 BOOTVID.dll          OK: driver.f9dac000.sys
0x0f93c9000 Dxapi.sys            OK: driver.f93c9000.sys
0x0f99cc000 disk.sys             OK: driver.f99cc000.sys
0x0f9e9e000 WMILIB.SYS           OK: driver.f9e9e000.sys
0x0f99ec000 agp440.sys           OK: driver.f99ec000.sys
0x0f9eac000 vmmouse.sys          OK: driver.f9eac000.sys
0x0f9acc000 raspppoe.sys         OK: driver.f9acc000.sys
0x0f0850000 srv.sys              OK: driver.f0850000.sys
0x0f93d5000 dump_vmscsi.sys      OK: driver.f93d5000.sys
0x0f9b4c000 netbios.sys          OK: driver.f9b4c000.sys
0x0f9817000 dmio.sys             OK: driver.f9817000.sys
0x0f999c000 isapnp.sys           OK: driver.f999c000.sys
