Offset(V)  Name                 Base             Size File
---------- -------------------- ---------- ---------- ----
0x819fc3a0 ntoskrnl.exe         0x804d7000   0x1f8980 \WINDOWS\system32\ntkrnlpa.exe
0x819fc338 hal.dll              0x806d0000    0x20300 \WINDOWS\system32\hal.dll
0x819fc2d0 kdcom.dll            0xf9e9c000     0x2000 \WINDOWS\system32\KDCOM.DLL
0x819fc260 BOOTVID.dll          0xf9dac000     0x3000 \WINDOWS\system32\BOOTVID.dll
0x819fc1f8 ACPI.sys             0xf986d000    0x2e000 ACPI.sys
0x819fc188 WMILIB.SYS           0xf9e9e000     0x2000 \WINDOWS\system32\DRIVERS\WMILIB.SYS
0x819fc120 pci.sys              0xf985c000    0x11000 pci.sys
0x819fc0b0 isapnp.sys           0xf999c000     0xa000 isapnp.sys
0x819fc040 compbatt.sys         0xf9db0000     0x3000 compbatt.sys
0x819f1008 BATTC.SYS            0xf9db4000     0x4000 \WINDOWS\system32\DRIVERS\BATTC.SYS
0x819f1f98 intelide.sys         0xf9ea0000     0x2000 intelide.sys
0x819f1f28 PCIIDEX.SYS          0xf9c1c000     0x7000 \WINDOWS\system32\DRIVERS\PCIIDEX.SYS
0x819f1eb8 MountMgr.sys         0xf99ac000     0xb000 MountMgr.sys
0x819f1e48 ftdisk.sys           0xf983d000    0x1f000 ftdisk.sys
0x819f1dd8 dmload.sys           0xf9ea2000     0x2000 dmload.sys
0x819f1d70 dmio.sys             0xf9817000    0x26000 dmio.sys
0x819f1d00 PartMgr.sys          0xf9c24000     0x5000 PartMgr.sys
0x819f1c90 VolSnap.sys          0xf99bc000     0xd000 VolSnap.sys
0x819f1c28 atapi.sys            0xf97ff000    0x18000 atapi.sys
0x819f1bb8 vmscsi.sys           0xf9db8000     0x3000 vmscsi.sys
0x819f1b48 SCSIPORT.SYS         0xf97e7000    0x18000 \WINDOWS\system32\drivers\SCSIPORT.SYS
0x819f1ae0 disk.sys             0xf99cc000     0x9000 disk.sys
0x819f1a70 CLASSPNP.SYS         0xf99dc000     0xd000 \WINDOWS\system32\DRIVERS\CLASSPNP.SYS
0x819f1a00 fltmgr.sys           0xf97c7000    0x20000 fltmgr.sys
0x819f1998 sr.sys               0xf97b5000    0x12000 sr.sys
0x819f1928 KSecDD.sys           0xf979e000    0x17000 KSecDD.sys
0x819f18c0 Ntfs.sys             0xf9711000    0x8d000 Ntfs.sys
0x819f1858 NDIS.sys             0xf96e4000    0x2d000 NDIS.sys
0x819f17f0 Mup.sys              0xf96ca000    0x1a000 Mup.sys
0x819f1780 agp440.sys           0xf99ec000     0xb000 agp440.sys
0x818a3df8 i8042prt.sys         0xf9a5c000     0xd000 \SystemRoot\system32\DRIVERS\i8042prt.sys
0x8171c348 kbdclass.sys         0xf9c94000     0x6000 \SystemRoot\system32\DRIVERS\kbdclass.sys
0x81792f50 vmmouse.sys          0xf9eac000     0x2000 \SystemRoot\system32\DRIVERS\vmmouse.sys
0x81792800 mouclass.sys         0xf9c9c000     0x6000 \SystemRoot\system32\DRIVERS\mouclass.sys
0x815aeae0 parport.sys          0xf9516000    0x14000 \SystemRoot\system32\DRIVERS\parport.sys
0x81498300 serial.sys           0xf9a6c000    0x10000 \SystemRoot\system32\DRIVERS\serial.sys
0x818a4b50 serenum.sys          0xf9e50000     0x4000 \SystemRoot\system32\DRIVERS\serenum.sys
0x818a2008 fdc.sys              0xf9ca4000     0x7000 \SystemRoot\system32\DRIVERS\fdc.sys
0x818a2e60 cdrom.sys            0xf9a7c000    0x10000 \SystemRoot\system32\DRIVERS\cdrom.sys
0x818097c8 redbook.sys          0xf9a8c000     0xf000 \SystemRoot\system32\DRIVERS\redbook.sys
0x818a28f0 ks.sys               0xf94f3000    0x23000 \SystemRoot\system32\DRIVERS\ks.sys
0x818a2bf8 vmci.sys             0xf9a9c000     0xe000 \SystemRoot\system32\DRIVERS\vmci.sys
0x81948230 vmx_svga.sys         0xf9cac000     0x6000 \SystemRoot\system32\DRIVERS\vmx_svga.sys
0x8191eeb0 VIDEOPRT.SYS         0xf94df000    0x14000 \SystemRoot\system32\DRIVERS\VIDEOPRT.SYS
0x81872898 usbuhci.sys          0xf9cb4000     0x6000 \SystemRoot\system32\DRIVERS\usbuhci.sys
0x8191edd8 USBPORT.SYS          0xf94bb000    0x24000 \SystemRoot\system32\DRIVERS\USBPORT.SYS
0x81792320 vmxnet.sys           0xf9cbc000     0x8000 \SystemRoot\system32\DRIVERS\vmxnet.sys
0x818e7ae8 usbehci.sys          0xf9cc4000     0x8000 \SystemRoot\system32\DRIVERS\usbehci.sys
0x818e73a8 CmBatt.sys           0xf9e58000     0x4000 \SystemRoot\system32\DRIVERS\CmBatt.sys
0x81623948 intelppm.sys         0xf9aac000     0x9000 \SystemRoot\system32\DRIVERS\intelppm.sys
0x81873bf0 audstub.sys          0xfa0ce000     0x1000 \SystemRoot\system32\DRIVERS\audstub.sys
0x81623500 rasl2tp.sys          0xf9abc000     0xd000 \SystemRoot\system32\DRIVERS\rasl2tp.sys
0x8167cb48 ndistapi.sys         0xf9e5c000     0x3000 \SystemRoot\system32\DRIVERS\ndistapi.sys
0x81871638 ndiswan.sys          0xf94a4000    0x17000 \SystemRoot\system32\DRIVERS\ndiswan.sys
0x81704698 raspppoe.sys         0xf9acc000     0xb000 \SystemRoot\system32\DRIVERS\raspppoe.sys
0x8167ca30 raspptp.sys          0xf9adc000     0xc000 \SystemRoot\system32\DRIVERS\raspptp.sys
0x814ad778 TDI.SYS              0xf9ccc000     0x5000 \SystemRoot\system32\DRIVERS\TDI.SYS
0x81704320 psched.sys           0xf946b000    0x11000 \SystemRoot\system32\DRIVERS\psched.sys
0x814ad370 msgpc.sys            0xf9aec000     0x9000 \SystemRoot\system32\DRIVERS\msgpc.sys
0x81485cc0 ptilink.sys          0xf9cd4000     0x5000 \SystemRoot\system32\DRIVERS\ptilink.sys
0x81485358 raspti.sys           0xf9cdc000     0x5000 \SystemRoot\system32\DRIVERS\raspti.sys
0x8166ab58 rdpdr.sys            0xf943b000    0x30000 \SystemRoot\system32\DRIVERS\rdpdr.sys
0x817b0790 termdd.sys           0xf9afc000     0xa000 \SystemRoot\system32\DRIVERS\termdd.sys
0x815ac2a8 swenum.sys           0xf9eae000     0x2000 \SystemRoot\system32\DRIVERS\swenum.sys
0x8164f3a0 update.sys           0xf93dd000    0x5e000 \SystemRoot\system32\DRIVERS\update.sys
0x81703980 mssmbios.sys         0xf9e84000     0x4000 \SystemRoot\system32\DRIVERS\mssmbios.sys
0x8166aae8 NDProxy.SYS          0xf9b0c000     0xa000 \SystemRoot\System32\Drivers\NDProxy.SYS
0x8164bf98 flpydisk.sys         0xf9ce4000     0x5000 \SystemRoot\system32\DRIVERS\flpydisk.sys
0x8186c4c8 usbhub.sys           0xf9b2c000     0xf000 \SystemRoot\system32\DRIVERS\usbhub.sys
0x81724788 USBD.SYS             0xf9eb0000     0x2000 \SystemRoot\system32\DRIVERS\USBD.SYS
0x81700c30 MpFilter.sys         0xf10d6000    0x23000 \SystemRoot\system32\DRIVERS\MpFilter.sys
0x815bde38 Fs_Rec.SYS           0xf9eba000     0x2000 \SystemRoot\System32\Drivers\Fs_Rec.SYS
0x81644008 Null.SYS             0xf9ffe000     0x1000 \SystemRoot\System32\Drivers\Null.SYS
0x81644a50 Beep.SYS             0xf9ebc000     0x2000 \SystemRoot\System32\Drivers\Beep.SYS
0x81644830 vga.sys              0xf9d04000     0x6000 \SystemRoot\System32\drivers\vga.sys
0x81644630 mnmdd.SYS            0xf9ebe000     0x2000 \SystemRoot\System32\Drivers\mnmdd.SYS
0x8161ca58 RDPCDD.sys           0xf9ec0000     0x2000 \SystemRoot\System32\DRIVERS\RDPCDD.sys
0x81644430 Msfs.SYS             0xf9d0c000     0x5000 \SystemRoot\System32\Drivers\Msfs.SYS
0x814cffa0 Npfs.SYS             0xf9d14000     0x8000 \SystemRoot\System32\Drivers\Npfs.SYS
0x8161c738 rasacd.sys           0xf9671000     0x3000 \SystemRoot\system32\DRIVERS\rasacd.sys
0x814cfdc0 ipsec.sys            0xf10a3000    0x13000 \SystemRoot\system32\DRIVERS\ipsec.sys
0x814cf738 tcpip.sys            0xf104a000    0x59000 \SystemRoot\system32\DRIVERS\tcpip.sys
0x814cf408 netbt.sys            0xf1022000    0x28000 \SystemRoot\system32\DRIVERS\netbt.sys
0x817aa1b0 ws2ifsl.sys          0xf9e3c000     0x3000 \SystemRoot\System32\drivers\ws2ifsl.sys
0x815c9fa0 afd.sys              0xf1000000    0x22000 \SystemRoot\System32\drivers\afd.sys
0x81904170 netbios.sys          0xf9b4c000     0x9000 \SystemRoot\system32\DRIVERS\netbios.sys
0x8192ba68 vmhgfs.sys           0xf0fe2000    0x1e000 \SystemRoot\System32\DRIVERS\vmhgfs.sys
0x815c9140 rdbss.sys            0xf0f73000    0x2b000 \SystemRoot\system32\DRIVERS\rdbss.sys
0x81614930 mrxsmb.sys           0xf0edb000    0x70000 \SystemRoot\system32\DRIVERS\mrxsmb.sys
