Offset(V)  Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
---------- -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0x819cc830 System                    4      0     60      209 ------      0                                                              
0x818efda0 smss.exe                384      4      3       19 ------      0 2011-09-26 01:33:32 UTC+0000                                 
0x81616ab8 csrss.exe               612    384     12      473      0      0 2011-09-26 01:33:35 UTC+0000                                 
0x814c9b40 winlogon.exe            636    384     16      498      0      0 2011-09-26 01:33:35 UTC+0000                                 
0x81794d08 services.exe            680    636     15      271      0      0 2011-09-26 01:33:35 UTC+0000                                 
0x814a2cd0 lsass.exe               692    636     24      356      0      0 2011-09-26 01:33:35 UTC+0000                                 
0x815c2630 vmacthlp.exe            852    680      1       25      0      0 2011-09-26 01:33:35 UTC+0000                                 
0x81470020 svchost.exe             868    680     17      199      0      0 2011-09-26 01:33:35 UTC+0000                                 
0x818b5248 svchost.exe             944    680     11      274      0      0 2011-09-26 01:33:36 UTC+0000                                 
0x813a0458 MsMpEng.exe            1040    680     16      322      0      0 2011-09-26 01:33:36 UTC+0000                                 
0x816b7020 svchost.exe            1076    680     87     1477      0      0 2011-09-26 01:33:36 UTC+0000                                 
0x817f7548 svchost.exe            1200    680      6       81      0      0 2011-09-26 01:33:37 UTC+0000                                 
0x8169a1d0 svchost.exe            1336    680     14      172      0      0 2011-09-26 01:33:37 UTC+0000                                 
0x813685e0 spoolsv.exe            1516    680     14      159      0      0 2011-09-26 01:33:39 UTC+0000                                 
0x818f5cd0 explorer.exe           1752   1696     32      680      0      0 2011-09-26 01:33:45 UTC+0000                                 
0x815c9638 svchost.exe            1812    680      4      102      0      0 2011-09-26 01:33:46 UTC+0000                                 
0x8192d7f0 VMwareTray.exe         1876   1752      3       84      0      0 2011-09-26 01:33:46 UTC+0000                                 
0x818f6458 VMwareUser.exe         1888   1752      9      245      0      0 2011-09-26 01:33:47 UTC+0000                                 
0x8164a020 msseces.exe            1900   1752     11      205      0      0 2011-09-26 01:33:47 UTC+0000                                 
0x81717370 ctfmon.exe             1912   1752      3       93      0      0 2011-09-26 01:33:47 UTC+0000                                 
0x813a5b28 svchost.exe            2000    680      6      119      0      0 2011-09-26 01:33:47 UTC+0000                                 
0x81336638 vmtoolsd.exe            200    680      5      234      0      0 2011-09-26 01:33:47 UTC+0000                                 
0x81329b28 VMUpgradeHelper         424    680      5      100      0      0 2011-09-26 01:33:48 UTC+0000                                 
0x812d6020 wscntfy.exe            2028   1076      3       63      0      0 2011-09-26 01:33:55 UTC+0000                                 
0x812c1718 TPAutoConnSvc.e        2068    680      5       99      0      0 2011-09-26 01:33:55 UTC+0000                                 
0x812b03e0 alg.exe                2272    680      7      112      0      0 2011-09-26 01:33:55 UTC+0000                                 
0x81324020 TPAutoConnect.e        3372   2068      3       90      0      0 2011-09-26 01:33:59 UTC+0000                                 
0x814e7b38 msiexec.exe            2396    680      5      127      0      0 2011-09-26 01:34:45 UTC+0000                                 
0x814db608 cmd.exe                3756   1752      3       56      0      0 2011-09-30 00:20:44 UTC+0000                                 
0x812f59a8 cmd.exe                3128    200      0 --------      0      0 2011-09-30 00:26:30 UTC+0000   2011-09-30 00:26:30 UTC+0000  
