Offset(P)  Name                    PID pslist psscan thrdproc pspcid csrss session deskthrd
---------- -------------------- ------ ------ ------ -------- ------ ----- ------- --------
0x01994d08 services.exe            680 True   True   True     True   True  True    True    
0x015a0458 MsMpEng.exe            1040 True   True   True     True   True  True    True    
0x014c1718 TPAutoConnSvc.e        2068 True   True   True     True   True  True    True    
0x01670020 svchost.exe             868 True   True   True     True   True  True    True    
0x01b2d7f0 VMwareTray.exe         1876 True   True   True     True   True  True    True    
0x016db608 cmd.exe                3756 True   True   True     True   True  True    True    
0x015a5b28 svchost.exe            2000 True   True   True     True   True  True    True    
0x017c2630 vmacthlp.exe            852 True   True   True     True   True  True    True    
0x019f7548 svchost.exe            1200 True   True   True     True   True  True    True    
0x017c9638 svchost.exe            1812 True   True   True     True   True  True    True    
0x014d6020 wscntfy.exe            2028 True   True   True     True   True  True    True    
0x01536638 vmtoolsd.exe            200 True   True   True     True   True  True    True    
0x016c9b40 winlogon.exe            636 True   True   True     True   True  True    True    
0x018b7020 svchost.exe            1076 True   True   True     True   True  True    True    
0x0184a020 msseces.exe            1900 True   True   True     True   True  True    True    
0x01ab5248 svchost.exe             944 True   True   True     True   True  True    True    
0x01af5cd0 explorer.exe           1752 True   True   True     True   True  True    True    
0x016e7b38 msiexec.exe            2396 True   True   True     True   True  True    True    
0x01af6458 VMwareUser.exe         1888 True   True   True     True   True  True    True    
0x015685e0 spoolsv.exe            1516 True   True   True     True   True  True    True    
0x016a2cd0 lsass.exe               692 True   True   True     True   True  True    True    
0x014b03e0 alg.exe                2272 True   True   True     True   True  True    True    
0x01524020 TPAutoConnect.e        3372 True   True   True     True   True  True    True    
0x01917370 ctfmon.exe             1912 True   True   True     True   True  True    True    
0x01529b28 VMUpgradeHelper         424 True   True   True     True   True  True    True    
0x0189a1d0 svchost.exe            1336 True   True   True     True   True  True    True    
0x014f59a8 cmd.exe                3128 True   True   False    True   False False   False   
0x01aefda0 smss.exe                384 True   True   True     True   False False   False   
0x01bcc830 System                    4 True   True   True     True   False False   False   
0x01816ab8 csrss.exe               612 True   True   True     True   False True    True    
