[x86] Gathering all referenced SSDTs from KTHREADs...
Finding appropriate address space for tables...
SSDT[0] at 80501bbc with 284 entries
  Entry 0x0000: 0x805999ba (NtAcceptConnectPort) owned by ntoskrnl.exe
  Entry 0x0001: 0x805e6e36 (NtAccessCheck) owned by ntoskrnl.exe
  Entry 0x0002: 0x805ea694 (NtAccessCheckAndAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0003: 0x805e6e68 (NtAccessCheckByType) owned by ntoskrnl.exe
  Entry 0x0004: 0x805ea6ce (NtAccessCheckByTypeAndAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0005: 0x805e6e9e (NtAccessCheckByTypeResultList) owned by ntoskrnl.exe
  Entry 0x0006: 0x805ea712 (NtAccessCheckByTypeResultListAndAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0007: 0x805ea756 (NtAccessCheckByTypeResultListAndAuditAlarmByHandle) owned by ntoskrnl.exe
  Entry 0x0008: 0x8060bea8 (NtAddAtom) owned by ntoskrnl.exe
  Entry 0x0009: 0x8060cbec (NtAddBootEntry) owned by ntoskrnl.exe
  Entry 0x000a: 0x805e2234 (NtAdjustGroupsToken) owned by ntoskrnl.exe
  Entry 0x000b: 0x805e1e8c (NtAdjustPrivilegesToken) owned by ntoskrnl.exe
  Entry 0x000c: 0x805cae66 (NtAlertResumeThread) owned by ntoskrnl.exe
  Entry 0x000d: 0x805cae16 (NtAlertThread) owned by ntoskrnl.exe
  Entry 0x000e: 0x8060c4ce (NtAllocateLocallyUniqueId) owned by ntoskrnl.exe
  Entry 0x000f: 0x805ab62e (NtAllocateUserPhysicalPages) owned by ntoskrnl.exe
  Entry 0x0010: 0x8060bae6 (NtAllocateUuids) owned by ntoskrnl.exe
  Entry 0x0011: 0x8059de30 (NtAllocateVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0012: 0x805a5a70 (NtAreMappedFilesTheSame) owned by ntoskrnl.exe
  Entry 0x0013: 0x805cc944 (NtAssignProcessToJobObject) owned by ntoskrnl.exe
  Entry 0x0014: 0x804ff838 (NtCallbackReturn) owned by ntoskrnl.exe
  Entry 0x0015: 0x8060d12a (NtCancelDeviceWakeupRequest) owned by ntoskrnl.exe
  Entry 0x0016: 0x8056bd48 (NtCancelIoFile) owned by ntoskrnl.exe
  Entry 0x0017: 0x8053503e (NtCancelTimer) owned by ntoskrnl.exe
  Entry 0x0018: 0x8060517e (NtClearEvent) owned by ntoskrnl.exe
  Entry 0x0019: 0x805b1cba (NtClose) owned by ntoskrnl.exe
  Entry 0x001a: 0x805eabce (NtCloseObjectAuditAlarm) owned by ntoskrnl.exe
  Entry 0x001b: 0x80619f14 (NtCompactKeys) owned by ntoskrnl.exe
  Entry 0x001c: 0x805ef0e2 (NtCompareTokens) owned by ntoskrnl.exe
  Entry 0x001d: 0x8059a0a8 (NtCompleteConnectPort) owned by ntoskrnl.exe
  Entry 0x001e: 0x8061a168 (NtCompressKey) owned by ntoskrnl.exe
  Entry 0x001f: 0x8059995a (NtConnectPort) owned by ntoskrnl.exe
  Entry 0x0020: 0x80540e48 (NtContinue) owned by ntoskrnl.exe
  Entry 0x0021: 0x80638ce0 (NtCreateDebugObject) owned by ntoskrnl.exe
  Entry 0x0022: 0x805b3cee (NtCreateDirectoryObject) owned by ntoskrnl.exe
  Entry 0x0023: 0x806051ce (NtCreateEvent) owned by ntoskrnl.exe
  Entry 0x0024: 0x8060d470 (NtCreateEventPair) owned by ntoskrnl.exe
  Entry 0x0025: 0x8056e2ee (NtCreateFile) owned by ntoskrnl.exe
  Entry 0x0026: 0x8056dccc (NtCreateIoCompletion) owned by ntoskrnl.exe
  Entry 0x0027: 0x805cb908 (NtCreateJobObject) owned by ntoskrnl.exe
  Entry 0x0028: 0x805cb640 (NtCreateJobSet) owned by ntoskrnl.exe
  Entry 0x0029: 0x8061a344 (NtCreateKey) owned by ntoskrnl.exe
  Entry 0x002a: 0x8056e3fc (NtCreateMailslotFile) owned by ntoskrnl.exe
  Entry 0x002b: 0x8060d868 (NtCreateMutant) owned by ntoskrnl.exe
  Entry 0x002c: 0x8056e328 (NtCreateNamedPipeFile) owned by ntoskrnl.exe
  Entry 0x002d: 0x805a0e18 (NtCreatePagingFile) owned by ntoskrnl.exe
  Entry 0x002e: 0x8059a476 (NtCreatePort) owned by ntoskrnl.exe
  Entry 0x002f: 0x805c74a0 (NtCreateProcess) owned by ntoskrnl.exe
  Entry 0x0030: 0x805c73ea (NtCreateProcessEx) owned by ntoskrnl.exe
  Entry 0x0031: 0x8060dc88 (NtCreateProfile) owned by ntoskrnl.exe
  Entry 0x0032: 0x805a075c (NtCreateSection) owned by ntoskrnl.exe
  Entry 0x0033: 0x8060b204 (NtCreateSemaphore) owned by ntoskrnl.exe
  Entry 0x0034: 0x805b9614 (NtCreateSymbolicLinkObject) owned by ntoskrnl.exe
  Entry 0x0035: 0x805c7288 (NtCreateThread) owned by ntoskrnl.exe
  Entry 0x0036: 0x8060d138 (NtCreateTimer) owned by ntoskrnl.exe
  Entry 0x0037: 0x805ef48a (NtCreateToken) owned by ntoskrnl.exe
