**************************************************
SharedInfo: 0xbf9ac5e0, SessionId: 0 Shared delta: 0
aheList: 0xbbd10000, Table size: 0x3000, Entry size: 0xc

Object(V)      Handle bType                 Flags    Thread  Process
---------- ---------- -------------------- -------- -------- -------
0xbbdd1b48    0x10001 TYPE_MONITOR            0     -------- -
0xe1707308    0x10002 TYPE_WINDOW             64      652    612
0xe1652ad8    0x10003 TYPE_CURSOR             0     -------- 612
0xbbe006e8    0x10004 TYPE_WINDOW             0       652    612
0xe1651ca0    0x10005 TYPE_CURSOR             0     -------- 612
0xbbe00818    0x10006 TYPE_WINDOW             0       652    612
0xe165f2a8    0x10007 TYPE_CURSOR             0     -------- 612
0xbbe00940    0x10008 TYPE_WINDOW             0       652    612
0xe16bcab8    0x10009 TYPE_CURSOR             0     -------- 612
0xbbe00a88    0x1000a TYPE_WINDOW             0       652    612
0xe16b1668    0x1000b TYPE_CURSOR             0     -------- 612
0xbbe206e8    0x1000c TYPE_WINDOW             0       652    612
0xe16b9c40    0x1000d TYPE_CURSOR             0     -------- 612
0xbbe20818    0x1000e TYPE_WINDOW             0       652    612
0xe16b9b40    0x1000f TYPE_CURSOR             0     -------- 612
0xbbe20940    0x10010 TYPE_WINDOW             0       652    612
0xe16b9ae0    0x10011 TYPE_CURSOR             0     -------- 612
0xbbe20a88    0x10012 TYPE_WINDOW             0       652    612
0xe16cf680    0x10013 TYPE_CURSOR             0     -------- 612
0xbbe306e8    0x10014 TYPE_WINDOW             0       652    612
0xe16cf620    0x10015 TYPE_CURSOR             0     -------- 612
0xbbe30818    0x10016 TYPE_WINDOW             0       652    612
0xe16cf5c0    0x10017 TYPE_CURSOR             0     -------- 612
0xbbe30940    0x10018 TYPE_WINDOW             0       652    612
0xe16cf560    0x10019 TYPE_CURSOR             0     -------- 612
0xbbe30a88    0x1001a TYPE_WINDOW             0       652    612
0xe16cf500    0x1001b TYPE_CURSOR             0     -------- 612
0xe1743eb0    0x1001c TYPE_WINDOW             64      700    612
0xe16cf4a0    0x1001d TYPE_CURSOR             0     -------- 612
0xbc1306e8    0x1001e TYPE_WINDOW             0       700    612
0xe16d5008    0x1001f TYPE_CURSOR             0     -------- 612
0xbc130818    0x10020 TYPE_WINDOW             0       700    612
0xe16d5fa8    0x10021 TYPE_CURSOR             0     -------- 612
0xbc130940    0x10022 TYPE_WINDOW             0       700    612
0xe16d5f48    0x10023 TYPE_CURSOR             0     -------- 612
0xbbe026c0    0x10024 TYPE_WINDOW             0       640    636
0xe16d5ee8    0x10025 TYPE_CURSOR             0     -------- 612
0xbbe027d8    0x10026 TYPE_WINDOW             0       640    636
0xe16d5e88    0x10027 TYPE_CURSOR             0     -------- 612
0xbbe02af8    0x10028 TYPE_WINDOW             0       640    636
0xe16d5e28    0x10029 TYPE_CURSOR             0     -------- 612
0xbc1b06e8    0x2002a TYPE_WINDOW             0       700    612
0xe16d5dc8    0x1002b TYPE_CURSOR             0     -------- 612
0xbc1b0818    0x1002c TYPE_WINDOW             0       700    612
0xe16d5d68    0x1002d TYPE_CURSOR             0     -------- 612
